Ticker,Forecast_Horizon_Days,Predicted_Close_Price,Confidence_%
CHENNPETRO,365,299.2,74.97
CHOLAHLDNG,30,686.86,0.0
CHOLAHLDNG,180,676.88,23.36
CHOLAHLDNG,365,680.86,3.9
CIEINDIA,30,337.48,76.86
CIEINDIA,180,334.24,81.45
CIEINDIA,365,328.26,77.38
CLEAN,30,1946.09,61.76
CLEAN,180,1917.64,60.23
CLEAN,365,1920.42,49.57
COALINDIA,30,221.75,58.03
COALINDIA,180,226.71,37.88
COALINDIA,365,226.43,61.16
COCHINSHIP,30,911.3,70.29
COCHINSHIP,180,882.57,62.95
COCHINSHIP,365,845.44,68.86
COFORGE,30,4225.22,72.9
COFORGE,180,4571.97,71.22
COFORGE,365,5057.38,70.65
CONCOR,30,685.31,0.0
CONCOR,180,676.43,0.0
CONCOR,365,676.3,0.0
CONCORDBIO,30,1745.6,5.23
CONCORDBIO,180,1760.81,0.0
CONCORDBIO,365,1778.1,0.0
COROMANDEL,30,838.4,0.0
COROMANDEL,180,851.27,0.0
COROMANDEL,365,861.11,0.0
CRAFTSMAN,30,4251.82,50.74
CRAFTSMAN,180,4198.74,35.13
CRAFTSMAN,365,4352.83,54.82
CREDITACC,30,989.74,57.58
CREDITACC,180,995.88,52.57
CREDITACC,365,997.77,52.93
CRISIL,30,4408.26,57.41
CRISIL,180,4559.53,60.39
CRISIL,365,4766.16,61.44
CROMPTON,30,337.12,0.0
CROMPTON,180,335.33,0.0
CROMPTON,365,335.97,0.0
CUMMINSIND,30,1415.01,0.0
CUMMINSIND,180,1386.69,0.0
CUMMINSIND,365,1442.33,0.0
CYIENT,30,1037.26,48.55
CYIENT,180,1019.65,12.23
CYIENT,365,1003.55,0.0
DABUR,30,595.18,73.19
DABUR,180,609.35,68.83
DABUR,365,615.44,59.66
DALBHARAT,30,993.39,59.8
DALBHARAT,180,1010.38,57.72
DALBHARAT,365,1001.6,60.47
DBREALTY,30,156.03,64.16
DBREALTY,180,166.88,62.55
DBREALTY,365,157.67,53.21
DEEPAKNTR,30,1200.34,61.37
DEEPAKNTR,180,1221.75,62.55
DEEPAKNTR,365,1217.66,72.62
DELHIVERY,30,478.11,58.52
DELHIVERY,180,511.06,67.09
DELHIVERY,365,526.74,63.65
DEVYANI,30,191.0,56.65
DEVYANI,180,190.37,43.17
DEVYANI,365,189.87,54.84
DIVISLAB,30,4737.86,58.93
DIVISLAB,180,5084.25,69.61
DIVISLAB,365,5274.82,67.08
DIXON,30,11556.78,62.61
DIXON,180,12083.67,62.54
DIXON,365,12442.71,59.11
DLF,30,557.84,66.55
DLF,180,543.4,44.43
DLF,365,560.66,41.09
DMART,30,3541.18,50.12
DMART,180,3583.87,50.98
DMART,365,3573.34,44.26
DOMS,30,2743.0,65.22
DOMS,180,2832.43,63.49
DOMS,365,2999.57,66.1
DRREDDY,30,4410.99,75.32
DRREDDY,180,4362.44,60.16
DRREDDY,365,4350.05,51.29
EASEMYTRIP,30,312.31,40.54
EASEMYTRIP,180,375.28,63.84
EASEMYTRIP,365,392.43,50.87
ECLERX,30,1878.91,42.23
ECLERX,180,1886.82,47.05
ECLERX,365,1935.34,58.57
EICHERMOT,30,17755.59,70.21
EICHERMOT,180,17456.51,68.29
EICHERMOT,365,17453.24,75.37
EIDPARRY,30,661.48,63.14
EIDPARRY,180,689.07,70.41
EIDPARRY,365,653.22,56.86
EIHOTEL,30,358.85,65.37
EIHOTEL,180,361.58,58.42
EIHOTEL,365,384.16,59.36
ELECON,30,746.35,65.24
ELECON,180,783.86,66.33
ELECON,365,851.35,63.39
ELGIEQUIP,30,533.94,61.29
ELGIEQUIP,180,548.09,56.78
ELGIEQUIP,365,586.15,62.08
EMAMILTD,30,572.68,32.68
EMAMILTD,180,609.21,58.76
EMAMILTD,365,603.11,51.5
EMCURE,30,1423.15,43.79
EMCURE,180,1452.28,37.71
EMCURE,365,1540.28,29.7
ENDURANCE,30,1800.42,53.62
ENDURANCE,180,1819.35,58.47
ENDURANCE,365,1806.45,46.77
ENGINERSIN,30,154.7,64.08
ENGINERSIN,180,159.63,69.19
ENGINERSIN,365,173.13,71.99
ERIS,30,743.12,43.35
ERIS,180,749.27,34.79
ERIS,365,751.84,29.92
ESCORTS,30,2714.78,64.68
ESCORTS,180,2934.72,66.42
ESCORTS,365,2932.48,59.26
EXIDEIND,30,284.75,52.35
EXIDEIND,180,284.59,42.01
EXIDEIND,365,285.57,42.42
FACT,30,586.84,61.05
FACT,180,609.12,52.27
FACT,365,716.14,63.97
FEDERALBNK,30,160.35,60.79
FEDERALBNK,180,175.01,68.46
FEDERALBNK,365,174.92,60.31
FINCABLES,30,558.09,13.48
FINCABLES,180,553.92,27.69
FINCABLES,365,547.26,22.53
FINEORG,30,4822.6,66.26
FINEORG,180,4744.37,66.13
FINEORG,365,4917.35,64.8
FINPIPE,30,231.92,42.91
FINPIPE,180,236.97,44.55
FINPIPE,365,232.22,50.0
FLUOROCHEM,30,4326.83,70.81
FLUOROCHEM,180,4517.05,62.67
FLUOROCHEM,365,4779.49,56.5
FORTIS,30,181.58,49.65
FORTIS,180,192.1,29.73
FORTIS,365,187.16,40.63
FSL,30,172.03,68.17
FSL,180,168.1,70.52
FSL,365,163.65,69.2
GAEL,30,250.93,59.62
GAEL,180,252.35,59.53
GAEL,365,253.77,61.78
GAIL,30,243.81,60.73
GAIL,180,240.98,43.01
GAIL,365,249.67,46.35
GESHIP,30,592.84,39.43
GESHIP,180,599.98,51.35
GESHIP,365,588.38,16.59
GICRE,30,293.84,55.0
GICRE,180,316.66,62.21
GICRE,365,326.17,58.75
GLAND,30,3159.06,63.01
GLAND,180,3104.24,56.12
GLAND,365,3196.98,65.22
GLAXO,30,2361.99,55.51
GLAXO,180,2316.8,48.33
GLAXO,365,2307.1,48.79
GLENMARK,30,565.31,46.14
GLENMARK,180,564.67,59.81
GLENMARK,365,574.32,58.57
GMDCLTD,30,291.66,57.8
GMDCLTD,180,297.52,55.42
GMDCLTD,365,337.36,59.96
GMRAIRPORT,30,66.92,61.16
GMRAIRPORT,180,65.3,60.14
GMRAIRPORT,365,64.63,54.6
GNFC,30,551.81,64.72
GNFC,180,546.58,67.36
GNFC,365,540.97,68.87
GODFRYPHLP,30,3060.05,63.72
GODFRYPHLP,180,3098.33,65.27
