Date,Sales,Ticker
2018-09-30,17280.75,INDUSINDBK
2019-03-31,17280.75,INDUSINDBK
2019-05-22,17280.75,INDUSINDBK
2019-07-12,17280.75,INDUSINDBK
2019-07-23,22261.15,INDUSINDBK
2019-10-10,22261.15,INDUSINDBK
2020-01-14,27387.7,INDUSINDBK
2020-03-31,27387.7,INDUSINDBK
2020-04-27,28782.83,INDUSINDBK
2020-07-28,28983.19,INDUSINDBK
2020-09-10,28983.19,INDUSINDBK
2020-10-30,29010.04,INDUSINDBK
2021-01-29,28967.01,INDUSINDBK
2021-03-31,28967.01,INDUSINDBK
2021-04-30,28999.8,INDUSINDBK
2021-07-27,29412.77,INDUSINDBK
2021-08-05,29412.77,INDUSINDBK
2021-10-27,29885.92,INDUSINDBK
2022-01-29,30381.91,INDUSINDBK
2022-03-31,30381.91,INDUSINDBK
2022-04-29,30822.44,INDUSINDBK
2022-07-20,31429.51,INDUSINDBK
2022-07-28,31429.51,INDUSINDBK
2022-10-19,32487.18,INDUSINDBK
2023-01-18,34207.1,INDUSINDBK
2023-03-31,34207.1,INDUSINDBK
2023-04-24,36367.92,INDUSINDBK
2023-07-18,38915.8,INDUSINDBK
2023-08-03,38915.8,INDUSINDBK
2023-10-18,41455.55,INDUSINDBK
2024-01-18,43570.39,INDUSINDBK
2024-03-31,43570.39,INDUSINDBK
2024-04-25,45748.21,INDUSINDBK
2024-07-26,47565.33,INDUSINDBK
2024-08-07,47565.33,INDUSINDBK
2024-10-24,49003.83,INDUSINDBK
2025-01-31,50232.35,INDUSINDBK
2013-01-31,10001.4,INDUSTOWER
2013-03-31,10001.4,INDUSTOWER
2013-04-30,10272.0,INDUSTOWER
2013-06-14,10272.0,INDUSTOWER
2013-07-29,10477.5,INDUSTOWER
2013-10-28,10605.7,INDUSTOWER
2014-01-23,10710.4,INDUSTOWER
2014-03-31,10826.7,INDUSTOWER
2014-06-30,11047.4,INDUSTOWER
2014-07-12,11047.4,INDUSTOWER
2014-09-30,11293.8,INDUSTOWER
2014-12-31,11511.5,INDUSTOWER
2015-03-31,11668.3,INDUSTOWER
2015-06-30,10197.3,INDUSTOWER
2015-07-28,10197.3,INDUSTOWER
2015-09-30,8639.8,INDUSTOWER
2015-12-31,7086.9,INDUSTOWER
2016-03-31,5558.3,INDUSTOWER
2016-06-30,5639.7,INDUSTOWER
2016-07-18,5639.7,INDUSTOWER
2016-09-30,5763.4,INDUSTOWER
2016-12-31,5897.5,INDUSTOWER
2017-03-31,6084.7,INDUSTOWER
2017-06-30,6225.0,INDUSTOWER
2017-07-01,6225.0,INDUSTOWER
2017-10-30,6387.4,INDUSTOWER
2018-01-17,6553.7,INDUSTOWER
