Date,OPM,Ticker
2013-03-31,12.07,TATACONSUM
2013-06-30,11.42,TATACONSUM
2013-09-30,8.16,TATACONSUM
2013-12-31,9.43,TATACONSUM
2014-03-31,9.98,TATACONSUM
2014-06-30,10.54,TATACONSUM
2014-09-30,9.21,TATACONSUM
2014-12-31,9.3,TATACONSUM
2015-03-31,9.8,TATACONSUM
2015-06-30,10.92,TATACONSUM
2015-09-30,8.43,TATACONSUM
2015-12-31,10.06,TATACONSUM
2016-03-31,10.01,TATACONSUM
2016-06-30,13.74,TATACONSUM
2016-09-30,11.47,TATACONSUM
2016-12-31,10.42,TATACONSUM
2017-03-31,11.03,TATACONSUM
2017-06-30,14.33,TATACONSUM
2017-09-30,12.64,TATACONSUM
2017-12-31,13.59,TATACONSUM
2018-03-31,8.63,TATACONSUM
2018-06-30,13.8,TATACONSUM
2018-09-30,9.46,TATACONSUM
2018-12-31,10.26,TATACONSUM
2019-03-31,9.82,TATACONSUM
2019-06-30,14.67,TATACONSUM
2019-09-30,13.41,TATACONSUM
2019-12-31,12.76,TATACONSUM
2020-03-31,12.82,TATACONSUM
2020-06-30,17.78,TATACONSUM
2020-09-30,14.37,TATACONSUM
2020-12-31,11.77,TATACONSUM
2021-03-31,9.88,TATACONSUM
2021-06-30,13.28,TATACONSUM
2021-09-30,13.63,TATACONSUM
2021-12-31,14.39,TATACONSUM
2022-03-31,13.99,TATACONSUM
2022-06-30,13.75,TATACONSUM
2022-09-30,12.9,TATACONSUM
2022-12-31,13.06,TATACONSUM
2023-03-31,14.14,TATACONSUM
2023-06-30,14.57,TATACONSUM
2023-09-30,14.38,TATACONSUM
2023-12-31,15.05,TATACONSUM
2024-03-31,16.03,TATACONSUM
2024-06-30,15.33,TATACONSUM
2024-09-30,14.86,TATACONSUM
2024-12-31,12.71,TATACONSUM
2005-03-31,19.58,TATAELXSI
2005-06-30,17.6,TATAELXSI
2005-09-30,20.44,TATAELXSI
2005-12-31,18.54,TATAELXSI
2006-03-31,21.91,TATAELXSI
2006-06-30,21.31,TATAELXSI
2006-09-30,20.81,TATAELXSI
2006-12-31,22.72,TATAELXSI
2007-03-31,24.34,TATAELXSI
2007-06-30,17.59,TATAELXSI
2007-09-30,14.2,TATAELXSI
2007-12-31,20.44,TATAELXSI
2008-03-31,22.42,TATAELXSI
2008-06-30,13.01,TATAELXSI
2008-09-30,20.4,TATAELXSI
2008-12-31,17.49,TATAELXSI
2009-03-31,26.47,TATAELXSI
2009-06-30,13.22,TATAELXSI
2009-09-30,19.63,TATAELXSI
2009-12-31,20.28,TATAELXSI
2010-03-31,17.47,TATAELXSI
2010-06-30,14.0,TATAELXSI
2010-09-30,12.58,TATAELXSI
2010-12-31,10.17,TATAELXSI
2011-03-31,11.97,TATAELXSI
2011-06-30,10.68,TATAELXSI
2011-09-30,13.72,TATAELXSI
2011-12-31,14.22,TATAELXSI
2012-03-31,15.44,TATAELXSI
2012-06-30,8.99,TATAELXSI
2012-09-30,13.05,TATAELXSI
2012-12-31,10.52,TATAELXSI
2013-03-31,13.55,TATAELXSI
2013-06-30,7.79,TATAELXSI
2013-09-30,17.08,TATAELXSI
2013-12-31,21.76,TATAELXSI
2014-03-31,22.2,TATAELXSI
2014-06-30,19.75,TATAELXSI
2014-09-30,20.3,TATAELXSI
2014-12-31,22.77,TATAELXSI
2015-03-31,20.49,TATAELXSI
2005-03-31,89.5,TATAINVEST
2005-06-30,96.41,TATAINVEST
2005-09-30,96.28,TATAINVEST
2005-12-31,97.21,TATAINVEST
2006-03-31,93.96,TATAINVEST
2006-06-30,97.01,TATAINVEST
2006-09-30,98.11,TATAINVEST
2006-12-31,97.53,TATAINVEST
2007-03-31,92.56,TATAINVEST
2007-06-30,96.79,TATAINVEST
2007-09-30,96.96,TATAINVEST
2007-12-31,96.84,TATAINVEST
2008-03-31,92.09,TATAINVEST
2008-06-30,96.68,TATAINVEST
2008-09-30,96.6,TATAINVEST
2008-12-31,81.56,TATAINVEST
2009-06-30,95.69,TATAINVEST
2009-09-30,98.07,TATAINVEST
2009-12-31,96.24,TATAINVEST
2010-03-31,88.49,TATAINVEST
