Date,GPM,Ticker
2011-06-30,100.0,INFY
2011-09-30,100.0,INFY
2011-12-31,100.0,INFY
2012-03-31,100.0,INFY
2012-06-30,100.0,INFY
2012-09-30,100.0,INFY
2012-12-31,100.0,INFY
2013-03-31,100.0,INFY
2013-06-30,100.0,INFY
2013-09-30,100.0,INFY
2013-12-31,100.0,INFY
2014-03-31,100.0,INFY
2014-06-30,100.0,INFY
2014-09-30,100.0,INFY
2014-12-31,100.0,INFY
2015-03-31,100.0,INFY
2015-06-30,100.0,INFY
2015-09-30,100.0,INFY
2015-12-31,100.0,INFY
2016-03-31,100.0,INFY
2016-06-30,100.0,INFY
2016-09-30,100.0,INFY
2016-12-31,100.0,INFY
2017-03-31,100.0,INFY
2017-06-30,100.0,INFY
2017-09-30,100.0,INFY
2017-12-31,100.0,INFY
2018-03-31,100.0,INFY
2018-06-30,100.0,INFY
2018-09-30,100.0,INFY
2018-12-31,100.0,INFY
2019-03-31,100.0,INFY
2019-06-30,100.0,INFY
2019-09-30,100.0,INFY
2019-12-31,100.0,INFY
2020-03-31,100.0,INFY
2020-06-30,100.0,INFY
2020-09-30,100.0,INFY
2020-12-31,100.0,INFY
2021-03-31,100.0,INFY
2021-06-30,100.0,INFY
2021-09-30,100.0,INFY
2021-12-31,100.0,INFY
2022-03-31,100.0,INFY
2022-06-30,100.0,INFY
2022-09-30,100.0,INFY
2022-12-31,100.0,INFY
2023-03-31,100.0,INFY
2023-06-30,100.0,INFY
2023-09-30,100.0,INFY
2023-12-31,100.0,INFY
2024-03-31,100.0,INFY
2024-06-30,100.0,INFY
2024-09-30,100.0,INFY
2024-12-31,100.0,INFY
2022-09-30,55.03,INOXINDIA
2022-12-31,54.66,INOXINDIA
2023-03-31,56.1,INOXINDIA
2023-06-30,50.04,INOXINDIA
2023-09-30,55.21,INOXINDIA
2023-12-31,55.25,INOXINDIA
2024-03-31,62.33,INOXINDIA
2024-06-30,55.57,INOXINDIA
2024-09-30,54.27,INOXINDIA
2024-12-31,55.4,INOXINDIA
2014-03-31,47.66,INOXWIND
2014-06-30,30.85,INOXWIND
2014-09-30,37.67,INOXWIND
2014-12-31,34.95,INOXWIND
2015-03-31,44.56,INOXWIND
2015-06-30,39.19,INOXWIND
2015-09-30,32.78,INOXWIND
2015-12-31,44.05,INOXWIND
2016-03-31,38.17,INOXWIND
2016-06-30,38.78,INOXWIND
2016-09-30,41.06,INOXWIND
2016-12-31,34.4,INOXWIND
2017-03-31,61.7,INOXWIND
2017-06-30,102.11,INOXWIND
2017-09-30,69.31,INOXWIND
2017-12-31,63.8,INOXWIND
2018-03-31,68.07,INOXWIND
2018-06-30,41.33,INOXWIND
2018-09-30,40.21,INOXWIND
2018-12-31,42.36,INOXWIND
2019-03-31,44.92,INOXWIND
2019-06-30,55.42,INOXWIND
2019-09-30,77.05,INOXWIND
2019-12-31,77.34,INOXWIND
2020-03-31,58.02,INOXWIND
2020-06-30,38.0,INOXWIND
2020-09-30,38.72,INOXWIND
2020-12-31,31.65,INOXWIND
2021-03-31,36.2,INOXWIND
2021-06-30,34.68,INOXWIND
2021-09-30,17.32,INOXWIND
2021-12-31,50.12,INOXWIND
2022-03-31,51.98,INOXWIND
2022-06-30,14.12,INOXWIND
2022-09-30,41.64,INOXWIND
2022-12-31,35.33,INOXWIND
2023-03-31,47.7,INOXWIND
2023-06-30,35.29,INOXWIND
2023-09-30,40.53,INOXWIND
2023-12-31,41.6,INOXWIND
2024-03-31,44.83,INOXWIND
2024-06-30,37.52,INOXWIND
2024-09-30,43.9,INOXWIND
2024-12-31,39.35,INOXWIND
2014-06-30,100.0,INTELLECT
2014-09-30,100.0,INTELLECT
2014-12-31,100.0,INTELLECT
2015-03-31,100.0,INTELLECT
2015-06-30,100.0,INTELLECT
2015-09-30,100.0,INTELLECT
2015-12-31,100.0,INTELLECT
2016-03-31,100.0,INTELLECT
2016-06-30,100.0,INTELLECT
2016-09-30,100.0,INTELLECT
2016-12-31,100.0,INTELLECT
2017-03-31,100.0,INTELLECT
2017-06-30,100.0,INTELLECT
2017-09-30,100.0,INTELLECT
2017-12-31,100.0,INTELLECT
2018-03-31,100.0,INTELLECT
2018-06-30,100.0,INTELLECT
2018-09-30,100.0,INTELLECT
2018-12-31,100.0,INTELLECT
2019-03-31,100.0,INTELLECT
2019-06-30,100.0,INTELLECT
2019-09-30,100.0,INTELLECT
2019-12-31,100.0,INTELLECT
2020-03-31,100.0,INTELLECT
2020-06-30,100.0,INTELLECT
2020-09-30,100.0,INTELLECT
2020-12-31,100.0,INTELLECT
2021-03-31,100.0,INTELLECT
2021-06-30,100.0,INTELLECT
2021-09-30,100.0,INTELLECT
2021-12-31,100.0,INTELLECT
2022-03-31,100.0,INTELLECT
2022-06-30,100.0,INTELLECT
2022-09-30,100.0,INTELLECT
2022-12-31,100.0,INTELLECT
2023-03-31,100.0,INTELLECT
2023-06-30,100.0,INTELLECT
2023-09-30,100.0,INTELLECT
2023-12-31,100.0,INTELLECT
2024-03-31,100.0,INTELLECT
2024-06-30,100.0,INTELLECT
2024-09-30,100.0,INTELLECT
2024-12-31,100.0,INTELLECT
2005-03-31,100.0,IOB
2005-06-30,100.0,IOB
2005-09-30,100.0,IOB
2005-12-31,100.0,IOB
2006-03-31,100.0,IOB
2006-06-30,100.0,IOB
2006-09-30,100.0,IOB
2006-12-31,100.0,IOB
2007-03-31,100.0,IOB
2007-06-30,100.0,IOB
2007-09-30,100.0,IOB
2007-12-31,100.0,IOB
2008-03-31,100.0,IOB
2008-06-30,100.0,IOB
2008-09-30,100.0,IOB
2008-12-31,100.0,IOB
2009-03-31,100.0,IOB
2009-06-30,100.0,IOB
2009-09-30,100.0,IOB
2009-12-31,100.0,IOB
2010-03-31,100.0,IOB
2010-06-30,100.0,IOB
2010-09-30,100.0,IOB
2010-12-31,100.0,IOB
2011-03-31,100.0,IOB
2011-06-30,100.0,IOB
2011-09-30,100.0,IOB
2011-12-31,100.0,IOB
2012-03-31,100.0,IOB
2012-06-30,100.0,IOB
2012-09-30,100.0,IOB
2012-12-31,100.0,IOB
2013-03-31,100.0,IOB
2013-06-30,100.0,IOB
2013-09-30,100.0,IOB
2013-12-31,100.0,IOB
2014-03-31,100.0,IOB
2014-06-30,100.0,IOB
2014-09-30,100.0,IOB
2014-12-31,100.0,IOB
2015-03-31,100.0,IOB
2015-06-30,100.0,IOB
2015-09-30,100.0,IOB
2015-12-31,100.0,IOB
2016-03-31,100.0,IOB
2016-06-30,100.0,IOB
2016-09-30,100.0,IOB
2016-12-31,100.0,IOB
2017-03-31,100.0,IOB
2017-06-30,100.0,IOB
2017-09-30,100.0,IOB
2017-12-31,100.0,IOB
2018-03-31,100.0,IOB
2018-06-30,100.0,IOB
2018-09-30,100.0,IOB
2018-12-31,100.0,IOB
2019-03-31,100.0,IOB
2019-06-30,100.0,IOB
2019-09-30,100.0,IOB
2019-12-31,100.0,IOB
2020-03-31,100.0,IOB
2020-06-30,100.0,IOB
2020-09-30,100.0,IOB
2020-12-31,100.0,IOB
2021-03-31,100.0,IOB
2021-06-30,100.0,IOB
2021-09-30,100.0,IOB
2021-12-31,100.0,IOB
2022-03-31,100.0,IOB
2022-06-30,100.0,IOB
2022-09-30,100.0,IOB
2022-12-31,100.0,IOB
2023-03-31,100.0,IOB
2023-06-30,100.0,IOB
2023-09-30,100.0,IOB
2023-12-31,100.0,IOB
2024-03-31,100.0,IOB
2024-06-30,100.0,IOB
2024-09-30,100.0,IOB
2024-12-31,100.0,IOB
2005-03-31,13.62,IOC
2005-06-30,7.49,IOC
2005-09-30,10.84,IOC
2005-12-31,5.7,IOC
2006-03-31,16.53,IOC
2006-06-30,3.59,IOC
2006-09-30,11.62,IOC
2006-12-31,9.12,IOC
2007-03-31,16.18,IOC
2007-06-30,8.44,IOC
2007-09-30,14.89,IOC
2007-12-31,9.65,IOC
2008-03-31,7.8,IOC
2008-06-30,9.06,IOC
2008-09-30,-0.15,IOC
2008-12-31,10.69,IOC
2009-03-31,25.28,IOC
2009-06-30,15.41,IOC
2009-09-30,8.14,IOC
2009-12-31,10.18,IOC
2010-03-31,17.94,IOC
2010-06-30,1.76,IOC
2010-09-30,16.07,IOC
2010-12-31,10.6,IOC
2011-03-31,12.88,IOC
2011-06-30,3.54,IOC
2011-09-30,3.39,IOC
2011-12-31,17.66,IOC
2012-03-31,16.41,IOC
2012-06-30,-10.73,IOC
2012-09-30,15.48,IOC
2012-12-31,11.91,IOC
2013-03-31,19.19,IOC
2013-06-30,9.44,IOC
2013-09-30,13.36,IOC
2013-12-31,5.01,IOC
2014-03-31,15.07,IOC
2014-06-30,9.17,IOC
2014-09-30,8.05,IOC
2014-12-31,6.5,IOC
2015-03-31,20.32,IOC
2015-06-30,19.29,IOC
2015-09-30,12.22,IOC
2015-12-31,16.48,IOC
2016-03-31,18.2,IOC
2016-06-30,26.0,IOC
2016-09-30,17.46,IOC
2016-12-31,20.65,IOC
2017-03-31,20.58,IOC
2017-06-30,17.34,IOC
2017-09-30,20.41,IOC
2017-12-31,22.36,IOC
2018-03-31,20.14,IOC
2018-06-30,20.2,IOC
2018-09-30,17.66,IOC
2018-12-31,9.31,IOC
2019-03-31,18.7,IOC
2019-06-30,15.16,IOC
2019-09-30,14.95,IOC
2019-12-31,15.1,IOC
2020-03-31,11.87,IOC
2020-06-30,26.77,IOC
2020-09-30,26.77,IOC
2020-12-31,21.28,IOC
2021-03-31,24.27,IOC
2021-06-30,20.24,IOC
2021-09-30,18.33,IOC
2021-12-31,14.72,IOC
2022-03-31,17.21,IOC
2022-06-30,10.3,IOC
2022-09-30,9.85,IOC
2022-12-31,9.57,IOC
2023-03-31,15.03,IOC
2023-06-30,19.28,IOC
2023-09-30,21.56,IOC
2023-12-31,16.2,IOC
2024-03-31,14.12,IOC
2024-06-30,13.21,IOC
2024-09-30,11.38,IOC
2024-12-31,12.85,IOC
2005-03-31,57.99,IPCALAB
2005-06-30,53.73,IPCALAB
2005-09-30,54.83,IPCALAB
2005-12-31,53.01,IPCALAB
2006-03-31,53.87,IPCALAB
2006-06-30,56.31,IPCALAB
2006-09-30,58.74,IPCALAB
2006-12-31,58.6,IPCALAB
2007-03-31,53.3,IPCALAB
2007-06-30,56.51,IPCALAB
2007-09-30,56.88,IPCALAB
2007-12-31,54.89,IPCALAB
2008-03-31,56.84,IPCALAB
2008-06-30,60.49,IPCALAB
2008-09-30,62.94,IPCALAB
2008-12-31,62.24,IPCALAB
2009-03-31,57.63,IPCALAB
2009-06-30,58.45,IPCALAB
2009-09-30,59.64,IPCALAB
2009-12-31,59.46,IPCALAB
2010-03-31,57.12,IPCALAB
2010-06-30,58.18,IPCALAB
2010-09-30,60.55,IPCALAB
2010-12-31,59.0,IPCALAB
2011-03-31,58.8,IPCALAB
2011-06-30,60.3,IPCALAB
2011-09-30,60.95,IPCALAB
2011-12-31,61.91,IPCALAB
2012-03-31,60.97,IPCALAB
2012-06-30,60.95,IPCALAB
2012-09-30,59.92,IPCALAB
2012-12-31,60.61,IPCALAB
2013-03-31,61.57,IPCALAB
2013-06-30,59.8,IPCALAB
2013-09-30,66.53,IPCALAB
2013-12-31,66.62,IPCALAB
2014-03-31,67.7,IPCALAB
2014-06-30,63.39,IPCALAB
2014-09-30,65.29,IPCALAB
2014-12-31,63.19,IPCALAB
2015-03-31,59.27,IPCALAB
2015-06-30,60.68,IPCALAB
2015-09-30,62.42,IPCALAB
2015-12-31,63.41,IPCALAB
2016-03-31,65.34,IPCALAB
2016-06-30,63.35,IPCALAB
2016-09-30,63.86,IPCALAB
2016-12-31,67.65,IPCALAB
2017-03-31,65.34,IPCALAB
2017-06-30,62.49,IPCALAB
2017-09-30,65.88,IPCALAB
2017-12-31,65.81,IPCALAB
2018-03-31,67.25,IPCALAB
2018-06-30,67.85,IPCALAB
2018-09-30,69.1,IPCALAB
2018-12-31,66.32,IPCALAB
2019-03-31,65.13,IPCALAB
2019-06-30,62.34,IPCALAB
2019-09-30,64.97,IPCALAB
2019-12-31,65.06,IPCALAB
2020-03-31,66.05,IPCALAB
2020-06-30,71.87,IPCALAB
2020-09-30,67.48,IPCALAB
2020-12-31,63.44,IPCALAB
2021-03-31,69.62,IPCALAB
2021-06-30,65.15,IPCALAB
2021-09-30,64.75,IPCALAB
2021-12-31,65.15,IPCALAB
2022-03-31,66.94,IPCALAB
2022-06-30,63.5,IPCALAB
2022-09-30,64.1,IPCALAB
2022-12-31,63.66,IPCALAB
2023-03-31,60.89,IPCALAB
2023-06-30,67.49,IPCALAB
2023-09-30,66.69,IPCALAB
2023-12-31,66.05,IPCALAB
2024-03-31,66.26,IPCALAB
2024-06-30,69.25,IPCALAB
2024-09-30,67.79,IPCALAB
2024-12-31,70.24,IPCALAB
2008-06-30,100.0,IRB
2008-09-30,100.0,IRB
2008-12-31,100.0,IRB
2009-03-31,100.0,IRB
2009-06-30,100.0,IRB
2009-09-30,100.0,IRB
2009-12-31,59.53,IRB
2010-03-31,53.05,IRB
2010-06-30,55.35,IRB
2010-09-30,55.81,IRB
2010-12-31,49.84,IRB
2011-03-31,47.79,IRB
2011-06-30,47.36,IRB
2011-09-30,50.59,IRB
2011-12-31,53.4,IRB
2012-03-31,53.81,IRB
2012-06-30,49.23,IRB
2012-09-30,52.3,IRB
2012-12-31,52.47,IRB
2013-03-31,53.49,IRB
2013-06-30,50.26,IRB
2013-09-30,54.27,IRB
2013-12-31,57.84,IRB
2014-03-31,61.21,IRB
2014-06-30,63.07,IRB
2014-09-30,69.11,IRB
2014-12-31,66.9,IRB
2015-03-31,65.6,IRB
2015-06-30,63.99,IRB
2015-09-30,60.65,IRB
2015-12-31,58.57,IRB
2016-03-31,58.71,IRB
2016-06-30,58.54,IRB
2016-09-30,64.28,IRB
2016-12-31,62.31,IRB
2017-03-31,59.14,IRB
2017-06-30,53.4,IRB
2017-09-30,58.18,IRB
2017-12-31,61.45,IRB
2018-03-31,60.29,IRB
2018-06-30,59.26,IRB
2018-09-30,58.84,IRB
2018-12-31,51.94,IRB
2019-03-31,46.4,IRB
2019-06-30,58.87,IRB
2019-09-30,51.31,IRB
2019-12-31,49.75,IRB
2020-03-31,49.87,IRB
2020-06-30,63.69,IRB
2020-09-30,62.45,IRB
2020-12-31,55.79,IRB
2021-03-31,57.35,IRB
2021-06-30,52.56,IRB
2021-09-30,60.0,IRB
2021-12-31,69.41,IRB
2022-03-31,56.07,IRB
2022-06-30,63.73,IRB
2022-09-30,63.33,IRB
2022-12-31,60.54,IRB
2023-03-31,56.33,IRB
2023-06-30,57.53,IRB
2023-09-30,58.33,IRB
2023-12-31,54.36,IRB
2024-03-31,52.49,IRB
2024-06-30,58.88,IRB
2024-09-30,59.96,IRB
2024-12-31,60.04,IRB
2005-03-31,100.0,IRCON
2005-06-30,100.0,IRCON
2005-09-30,100.0,IRCON
2005-12-31,100.0,IRCON
2006-03-31,100.0,IRCON
2006-06-30,100.0,IRCON
2006-09-30,100.0,IRCON
2006-12-31,100.0,IRCON
2007-03-31,100.0,IRCON
2007-06-30,100.0,IRCON
2007-09-30,100.0,IRCON
2007-12-31,100.0,IRCON
2008-03-31,100.0,IRCON
2008-06-30,100.0,IRCON
2008-09-30,100.0,IRCON
2008-12-31,100.0,IRCON
2009-03-31,100.0,IRCON
2009-06-30,100.0,IRCON
2009-09-30,100.0,IRCON
2009-12-31,100.0,IRCON
2010-03-31,100.0,IRCON
2010-06-30,20.0,IRCON
2010-09-30,100.0,IRCON
2010-12-31,100.0,IRCON
2011-03-31,100.0,IRCON
2011-06-30,23.24,IRCON
2017-06-30,100.0,IRCON
2017-09-30,100.0,IRCON
2017-12-31,100.0,IRCON
2018-03-31,93.56,IRCON
2018-06-30,17.24,IRCON
2018-09-30,16.81,IRCON
2018-12-31,90.28,IRCON
2019-03-31,15.4,IRCON
2019-06-30,23.7,IRCON
2019-09-30,15.73,IRCON
2019-12-31,19.03,IRCON
2020-03-31,13.34,IRCON
2020-06-30,26.77,IRCON
2020-09-30,16.42,IRCON
2020-12-31,14.81,IRCON
2021-03-31,11.5,IRCON
2021-06-30,15.23,IRCON
2021-09-30,14.54,IRCON
2021-12-31,13.31,IRCON
2022-03-31,9.55,IRCON
2022-06-30,11.53,IRCON
2022-09-30,13.04,IRCON
2022-12-31,10.23,IRCON
2023-03-31,7.38,IRCON
2023-06-30,12.59,IRCON
2023-09-30,11.14,IRCON
2023-12-31,11.93,IRCON
2024-03-31,11.95,IRCON
2024-06-30,14.96,IRCON
2024-09-30,12.21,IRCON
2024-12-31,8.7,IRCON
2018-12-31,85.39,IRCTC
2019-03-31,109.83,IRCTC
2019-06-30,91.21,IRCTC
2019-09-30,92.98,IRCTC
2019-12-31,94.94,IRCTC
2020-03-31,95.6,IRCTC
2020-06-30,93.41,IRCTC
2020-09-30,94.76,IRCTC
2020-12-31,93.09,IRCTC
2021-03-31,94.36,IRCTC
2021-06-30,91.93,IRCTC
2021-09-30,94.76,IRCTC
