Date,EBITDA,Ticker
2024-09-30,785.56,TANLA
2024-10-17,768.09,TANLA
2025-01-21,743.05,TANLA
2006-06-27,829.04,TATACHEM
2006-06-30,829.04,TATACHEM
2006-09-30,829.04,TATACHEM
2006-12-31,829.04,TATACHEM
2007-03-31,1099.97,TATACHEM
2007-06-30,1146.16,TATACHEM
2007-07-19,1146.16,TATACHEM
2007-09-30,1172.71,TATACHEM
2007-12-31,1157.76,TATACHEM
2008-03-31,1607.8,TATACHEM
2008-06-30,1872.95,TATACHEM
2008-07-25,1872.95,TATACHEM
2008-09-30,2347.67,TATACHEM
2008-12-31,2472.1,TATACHEM
2009-03-31,2126.79,TATACHEM
2009-06-30,2076.76,TATACHEM
2009-07-15,2076.76,TATACHEM
2009-09-30,1684.26,TATACHEM
2009-12-31,1835.52,TATACHEM
2010-03-31,1887.96,TATACHEM
2010-06-30,1940.37,TATACHEM
2010-07-23,1940.37,TATACHEM
2010-09-30,1942.06,TATACHEM
2010-12-31,1832.01,TATACHEM
2011-03-31,1942.95,TATACHEM
2011-07-12,1952.0,TATACHEM
2011-08-08,1950.14,TATACHEM
2011-11-11,2219.1,TATACHEM
2012-02-10,2343.33,TATACHEM
2012-03-31,2343.33,TATACHEM
2012-05-30,2420.11,TATACHEM
2012-07-28,2446.0,TATACHEM
2012-08-07,2408.54,TATACHEM
2012-11-09,2389.53,TATACHEM
2013-02-08,2491.99,TATACHEM
2013-03-31,2491.99,TATACHEM
2013-05-27,2580.69,TATACHEM
2013-08-02,2032.48,TATACHEM
2013-08-08,2479.17,TATACHEM
2013-11-11,2390.4,TATACHEM
2014-02-03,2229.4,TATACHEM
2014-03-31,1952.02,TATACHEM
2014-06-30,2051.21,TATACHEM
2014-07-24,2051.21,TATACHEM
2014-09-30,2130.51,TATACHEM
2014-12-31,2222.49,TATACHEM
2015-03-31,2277.22,TATACHEM
2015-06-30,2294.1,TATACHEM
2015-07-18,2294.1,TATACHEM
2015-09-30,2265.17,TATACHEM
2015-12-31,2157.64,TATACHEM
2016-03-31,2292.15,TATACHEM
2016-06-30,2367.12,TATACHEM
2016-07-15,2367.12,TATACHEM
2016-09-30,2311.07,TATACHEM
2017-02-20,2416.85,TATACHEM
2017-03-31,2416.85,TATACHEM
2017-05-27,2471.13,TATACHEM
2017-07-13,2389.89,TATACHEM
2017-08-08,2368.09,TATACHEM
2017-09-30,2368.09,TATACHEM
2017-11-13,2516.06,TATACHEM
2018-02-06,2706.5,TATACHEM
2018-03-31,2706.5,TATACHEM
2018-05-18,3541.87,TATACHEM
2018-06-29,3499.78,TATACHEM
2018-08-13,3633.55,TATACHEM
2018-09-30,3633.55,TATACHEM
2018-11-02,3636.3,TATACHEM
2019-02-05,3419.52,TATACHEM
2019-03-31,3419.52,TATACHEM
2019-05-03,2558.58,TATACHEM
2019-06-12,2343.85,TATACHEM
2019-08-08,2550.02,TATACHEM
2019-09-30,2550.02,TATACHEM
2019-10-30,2428.62,TATACHEM
2020-02-03,2350.23,TATACHEM
2020-03-31,2350.23,TATACHEM
2020-05-15,2328.1,TATACHEM
2020-06-15,8281.08,TATACHEM
2020-07-31,2143.14,TATACHEM
2020-09-30,2143.14,TATACHEM
2020-10-29,1967.2,TATACHEM
2021-01-28,1980.63,TATACHEM
2021-03-31,1980.63,TATACHEM
2021-05-03,1760.68,TATACHEM
2021-06-11,1705.47,TATACHEM
2021-08-05,2048.97,TATACHEM
2021-09-30,2048.97,TATACHEM
2021-10-27,2198.41,TATACHEM
2022-02-10,2356.61,TATACHEM
2022-03-31,2356.61,TATACHEM
2022-04-29,2786.66,TATACHEM
2022-06-13,2729.0,TATACHEM
2022-08-09,3170.66,TATACHEM
2022-09-30,3170.66,TATACHEM
2022-10-27,3583.0,TATACHEM
2023-02-01,3772.0,TATACHEM
2023-03-31,3772.0,TATACHEM
2023-05-03,4038.0,TATACHEM
2023-06-04,3981.0,TATACHEM
2023-08-07,4049.0,TATACHEM
2023-09-30,4049.0,TATACHEM
2023-11-10,3914.0,TATACHEM
2024-02-05,3686.0,TATACHEM
2024-03-31,3686.0,TATACHEM
2024-04-29,3201.0,TATACHEM
2024-06-04,3152.0,TATACHEM
2024-08-05,2775.0,TATACHEM
2024-09-30,2775.0,TATACHEM
2024-10-17,2653.0,TATACHEM
2025-02-03,2507.0,TATACHEM
2006-08-24,859.54,TATACOMM
2007-03-31,850.25,TATACOMM
2007-07-21,1254.68,TATACOMM
2008-03-31,1202.27,TATACOMM
2008-07-21,1103.35,TATACOMM
2009-03-31,803.53,TATACOMM
2009-06-30,803.53,TATACOMM
2009-07-21,1570.51,TATACOMM
2009-09-30,1570.51,TATACOMM
2009-12-31,1570.51,TATACOMM
2010-03-31,1131.89,TATACOMM
2010-06-30,1018.82,TATACOMM
2010-07-16,1018.82,TATACOMM
2010-09-30,1039.7,TATACOMM
2010-12-31,1154.09,TATACOMM
2011-03-31,1438.51,TATACOMM
2011-08-30,1529.58,TATACOMM
2011-09-19,1529.58,TATACOMM
2011-11-09,1655.5,TATACOMM
2012-01-25,1829.19,TATACOMM
2012-03-31,1829.19,TATACOMM
2012-05-21,1936.29,TATACOMM
2012-07-04,1898.0,TATACOMM
2012-07-26,2215.53,TATACOMM
2012-11-06,2210.52,TATACOMM
2013-02-09,2297.71,TATACOMM
2013-03-31,2297.71,TATACOMM
2013-05-28,2286.3,TATACOMM
2013-07-09,2253.37,TATACOMM
2013-07-26,2318.2,TATACOMM
2013-10-29,2722.79,TATACOMM
2014-02-12,2922.35,TATACOMM
2014-03-31,3231.26,TATACOMM
2014-06-30,3330.36,TATACOMM
2014-07-14,3330.36,TATACOMM
2014-09-30,3376.77,TATACOMM
2014-12-31,3440.8,TATACOMM
2015-03-31,3390.51,TATACOMM
2015-06-30,3435.6,TATACOMM
2015-09-14,3435.6,TATACOMM
2015-09-30,3284.34,TATACOMM
2015-12-31,3040.58,TATACOMM
2016-03-31,2737.1,TATACOMM
2016-06-30,2590.05,TATACOMM
