Date,BookValue,Ticker
2023-06-30,254.07,GRAPHITE
2023-07-07,254.07,GRAPHITE
2023-08-10,254.07,GRAPHITE
2023-09-30,284.99,GRAPHITE
2023-11-09,284.99,GRAPHITE
2024-02-14,284.99,GRAPHITE
2024-03-31,254.07,GRAPHITE
2024-05-07,254.07,GRAPHITE
2024-07-05,287.18,GRAPHITE
2024-08-06,287.18,GRAPHITE
2024-09-30,298.66,GRAPHITE
2024-11-11,298.66,GRAPHITE
2025-02-12,298.66,GRAPHITE
2006-08-03,101.26,GRASIM
2006-09-30,101.26,GRASIM
2006-12-31,101.26,GRASIM
2007-03-31,101.39,GRASIM
2007-06-16,138.59,GRASIM
2007-06-30,138.59,GRASIM
2007-09-30,138.59,GRASIM
2007-12-31,138.59,GRASIM
2008-03-31,138.66,GRASIM
2008-06-30,138.66,GRASIM
2008-07-09,193.43,GRASIM
2008-09-30,193.43,GRASIM
2008-12-31,193.43,GRASIM
2009-03-31,193.61,GRASIM
2009-06-30,193.61,GRASIM
2009-07-09,243.78,GRASIM
2009-09-30,243.78,GRASIM
2009-12-31,243.78,GRASIM
2010-03-31,243.39,GRASIM
2010-06-30,243.39,GRASIM
2010-07-21,263.47,GRASIM
2010-09-30,263.47,GRASIM
2010-12-31,263.47,GRASIM
2011-03-31,263.47,GRASIM
2011-07-30,263.47,GRASIM
2011-08-09,306.66,GRASIM
2011-10-22,306.66,GRASIM
2012-01-24,306.66,GRASIM
2012-03-31,306.66,GRASIM
2012-05-05,306.66,GRASIM
2012-07-05,359.21,GRASIM
2012-07-27,359.21,GRASIM
2012-10-29,359.21,GRASIM
2013-01-31,359.21,GRASIM
2013-03-31,359.21,GRASIM
2013-05-04,359.21,GRASIM
2013-07-12,414.26,GRASIM
2013-08-03,414.26,GRASIM
2013-10-30,414.26,GRASIM
2014-02-01,414.26,GRASIM
2014-03-31,414.26,GRASIM
2014-06-30,414.26,GRASIM
2014-08-09,455.52,GRASIM
2014-09-30,477.0,GRASIM
2014-12-31,477.0,GRASIM
2015-03-31,455.52,GRASIM
2015-06-30,455.52,GRASIM
2015-09-01,487.67,GRASIM
2015-09-30,509.17,GRASIM
2015-12-31,509.17,GRASIM
2016-03-31,487.7,GRASIM
2016-06-30,487.7,GRASIM
2016-08-31,568.48,GRASIM
2016-09-30,609.21,GRASIM
2017-01-13,609.34,GRASIM
2017-03-31,568.48,GRASIM
2017-05-21,568.48,GRASIM
2017-08-14,568.48,GRASIM
2017-08-30,650.51,GRASIM
2017-09-30,1166.03,GRASIM
2017-11-14,828.1,GRASIM
2018-02-14,828.1,GRASIM
