Date,NPM,Ticker
2010-09-30,7.04,BATAINDIA
2010-12-31,9.56,BATAINDIA
2011-03-31,9.09,BATAINDIA
2011-06-30,9.48,BATAINDIA
2011-09-30,8.17,BATAINDIA
2011-12-31,10.45,BATAINDIA
2012-03-31,8.87,BATAINDIA
2012-06-30,10.45,BATAINDIA
2012-09-30,7.56,BATAINDIA
2012-12-31,10.0,BATAINDIA
2013-03-31,8.47,BATAINDIA
2013-06-30,10.82,BATAINDIA
2013-09-30,7.76,BATAINDIA
2013-12-31,10.71,BATAINDIA
2014-03-31,7.95,BATAINDIA
2014-06-30,9.73,BATAINDIA
2014-09-30,7.12,BATAINDIA
2014-12-31,6.51,BATAINDIA
2015-03-31,6.47,BATAINDIA
2015-06-30,8.22,BATAINDIA
2015-09-30,5.15,BATAINDIA
2015-12-31,7.17,BATAINDIA
2016-03-31,5.19,BATAINDIA
2016-06-30,7.62,BATAINDIA
2016-09-30,5.98,BATAINDIA
2016-12-31,7.93,BATAINDIA
2017-03-31,6.08,BATAINDIA
2017-06-30,8.21,BATAINDIA
2017-09-30,7.31,BATAINDIA
2017-12-31,10.11,BATAINDIA
2018-03-31,8.24,BATAINDIA
2018-06-30,10.33,BATAINDIA
2018-09-30,8.15,BATAINDIA
2018-12-31,13.22,BATAINDIA
2019-03-31,13.04,BATAINDIA
2019-06-30,11.44,BATAINDIA
2019-09-30,9.88,BATAINDIA
2019-12-31,14.24,BATAINDIA
2020-03-31,6.19,BATAINDIA
2020-06-30,-74.69,BATAINDIA
2020-09-30,-12.05,BATAINDIA
2020-12-31,4.84,BATAINDIA
2021-03-31,5.0,BATAINDIA
2021-06-30,-26.02,BATAINDIA
2021-09-30,6.06,BATAINDIA
2021-12-31,8.6,BATAINDIA
2022-03-31,9.46,BATAINDIA
2022-06-30,12.66,BATAINDIA
2022-09-30,6.61,BATAINDIA
2022-12-31,9.24,BATAINDIA
2023-03-31,8.43,BATAINDIA
2023-06-30,11.16,BATAINDIA
2023-09-30,7.16,BATAINDIA
2023-12-31,6.42,BATAINDIA
2024-03-31,7.98,BATAINDIA
2024-06-30,18.43,BATAINDIA
2024-09-30,6.21,BATAINDIA
2024-12-31,7.18,BATAINDIA
2005-03-31,-1.38,BAYERCROP
2005-06-30,7.07,BAYERCROP
2005-09-30,12.0,BAYERCROP
2005-12-31,3.5,BAYERCROP
