Ticker,GrangerFeatures
COCHINSHIP,"Volume_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled"
COFORGE,"CrudeOil_scaled, EBITDA_scaled, Sales_scaled, 100DayMA_scaled, 50DayMA_scaled"
COLPAL,"CrudeOil_scaled, GPM_scaled, 100DayMA_scaled"
CONCOR,Sales_scaled
CONCORDBIO,"50DayMA_scaled, Dollar-INR_scaled, 100DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled"
COROMANDEL,"Sales_scaled, EBITDA_scaled, inflation-Monthly_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
CRAFTSMAN,"PriceToBookValue_scaled, BookValue_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled"
CREDITACC,"EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled, Volume_scaled, 100DayMA_scaled, CrudeOil_scaled"
CRISIL,"EBITDA_scaled, Sales_scaled, 50DayMA_scaled, 100DayMA_scaled, Volume_scaled, CBOE_scaled"
CROMPTON,"Market-Cap-Sales_scaled, EBITDA_scaled"
CUB,"50DayMA_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled, Dollar-INR_scaled"
CUMMINSIND,"EBITDA_scaled, 100DayMA_scaled, 50DayMA_scaled, BookValue_scaled, Sales_scaled"
CYIENT,"EBITDA_scaled, 100DayMA_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, CBOE_scaled, PriceToBookValue_scaled, BookValue_scaled"
DABUR,"CrudeOil_scaled, GPM_scaled, Sales_scaled, Market-Cap-Sales_scaled, Dollar-INR_scaled"
DALBHARAT,"Market-Cap-Sales_scaled, Dollar-INR_scaled, inflation-Monthly_scaled"
DATAPATTNS,"50DayMA_scaled, 100DayMA_scaled"
DBREALTY,"CBOE_scaled, Volume_scaled, Market-Cap-Sales_scaled, BookValue_scaled, PriceToBookValue_scaled"
DEEPAKNTR,"EBITDA_scaled, GPM_scaled, NPM_scaled, OPM_scaled, Market-Cap-Sales_scaled, inflation-Monthly_scaled, CrudeOil_scaled"
DELHIVERY,"Dollar-INR_scaled, Sales_scaled, Market-Cap-Sales_scaled"
DEVYANI,"Market-Cap-Sales_scaled, inflation-yearly_scaled, Sales_scaled, GDP_scaled, PriceToBookValue_scaled, Volume_scaled"
DIVISLAB,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled"
DIXON,"EBITDA_scaled, Sales_scaled, Market-Cap-Sales_scaled"
DLF,CBOE_scaled
DMART,"Market-Cap-Sales_scaled, 100DayMA_scaled, Volume_scaled, inflation-Monthly_scaled, PriceToBookValue_scaled"
DOMS,"Volume_scaled, PriceToBookValue_scaled, EBITDA_scaled, BookValue_scaled, Sales_scaled, Market-Cap-Sales_scaled, OPM_scaled, GPM_scaled"
DRREDDY,"PriceToBookValue_scaled, EBITDA_scaled"
EASEMYTRIP,Dollar-INR_scaled
ECLERX,"EBITDA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, Sales_scaled, Volume_scaled, CrudeOil_scaled"
